"diameterM","hcToColumn","rotorToColumn","freeArea","rpm","compartmentHeightM","rotorDiameterM","tipSpeedMS","powerW","powerVolumeWM3","psiWKg","d32M","holdup","interfacialAreaM2M3","floodHoldup","actualLoading","designFloodFraction","signedForceBalanceResidualN","buoyancyDirection","hydraulicPass","rotorReynolds","status","validity","reasons","sourceDiagnostics","controllingInterface","controllingCoefficient","capacityMS","jcMS","jdMS","qualification","sourceExtrapolation"
"0.2","0.2","0.33","0.2","30","0.04000000000000001","0.066","0.10367255756846318","0.00016324155128160002","0.1299034990222788","0.000149486189899055","0.014056778998905357","","","0.19407463989564544","1.6666427480392039","0.7","0","DISPERSED_DOWNWARD","false","31.650200668896325","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.03212205764828536","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","35","0.04000000000000001","0.066","0.12095131716320705","0.0002592215374518001","0.20628194520667423","0.00023737853303414756","0.011682873367667431","","","0.1893050267848838","2.0854635830016206","0.7","2.168404344971009e-19","DISPERSED_DOWNWARD","false","36.925234113712385","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.02567102819151478","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","40","0.04000000000000001","0.066","0.1382300767579509","0.0003869429363712","0.307919405089846","0.00035433763531627846","0.009953122126424251","","","0.18507657902892005","2.581203104259376","0.7","1.0842021724855044e-19","DISPERSED_DOWNWARD","false","42.200267558528424","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.020740713639802125","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","45","0.04000000000000001","0.066","0.15550883635269477","0.0005509402355754001","0.43842430920019093","0.0005045158909093106","0.008641244749893886","","","0.18138630507419545","3.1600774794924535","0.7","0","DISPERSED_DOWNWARD","false","47.47530100334449","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.016941355007602712","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","50","0.04000000000000001","0.066","0.17278759594743864","0.0007557479226000001","0.6014050880661055","0.0006920656939771064","0.00761495458105709","","","0.17820028585209113","3.828351564898414","0.7","1.6263032587282567e-19","DISPERSED_DOWNWARD","false","52.75033444816055","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.013984085192821788","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","55","0.04000000000000001","0.066","0.19006635554218249","0.0010059004849806","0.8004701722159864","0.0009211394386835286","0.006791975257809598","","","0.1754692019896718","4.592050932423701","0.7","1.0842021724855044e-19","DISPERSED_DOWNWARD","false","58.02536789297659","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.011658406062877777","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","60","0.04000000000000001","0.066","0.20734511513692636","0.0013059324102528001","1.0392279921782304","0.00119588951919244","0.0061185684378130935","","","0.17313818218586674","5.456870729465544","0.7","2.710505431213761e-20","DISPERSED_DOWNWARD","false","63.30040133779265","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.009810749985799177","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","65","0.04000000000000001","0.066","0.2246238747316702","0.0016603781859521997","1.3212869784812333","0.0015204683296677023","0.005558214394220562","","","0.1711528583897492","6.428168528630634","0.7","-2.710505431213761e-20","DISPERSED_DOWNWARD","false","68.5754347826087","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.008328343320988908","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","70","0.04000000000000001","0.066","0.2419026343264141","0.0020737722996144008","1.6502555616533938","0.0018990282642731805","0.005085265995570085","","","0.16946267076502824","7.510992843054739","0.7","1.3552527156068805e-20","DISPERSED_DOWNWARD","false","73.85046822742477","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.007127685453876537","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
"0.2","0.2","0.33","0.2","75","0.04000000000000001","0.066","0.25918139392115797","0.0025506492387750005","2.029742172223106","0.002335721717172734","0.004681206576511178","","","0.1680224823357293","8.710123968310532","0.7","0","DISPERSED_DOWNWARD","false","79.12550167224082","INFEASIBLE","PHYSICAL_INVALID","[""NO_DILUTE_CONNECTED_ROOT"",""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION""]","[""PREPILOT_EXTRAPOLATED_METHOD"",""INVERSION_ENTRAINMENT_UNKNOWN"",""TURBULENCE_SHAPE_DRAG_RANGE_UNQUALIFIED"",""MODELED_TURNING_CAPACITY_NOT_OBSERVED_FLOOD""]","SCHILLER_NAUMANN_IMMOBILE","0.36","0.006146410157466014","0.035367765131532294","0.01816822930007974","{""inversion"":""UNKNOWN"",""entrainment"":""UNKNOWN"",""disengagement"":""UNKNOWN"",""turbulence"":""UNKNOWN"",""sphericalDrop"":""UNKNOWN"",""schillerNaumannRange"":""UNKNOWN"",""interfaceMobility"":""UNKNOWN""}","{""status"":""EXTRAPOLATED"",""diameterToGartheMaximum"":1.3157894736842106,""rotorToGartheMaximum"":0.7764705882352941,""compartmentToGartheMaximum"":0.5555555555555557,""viscosityToKhMaximum"":37.14285714285714}"
